hour,day_of_week,weather_score,event_impact,historical_avg,traffic_level,zone,is_weekend,is_ramadan,timestamp
0,2,1.0,0.0,0.722,0.1,Centre_Ville,False,True,2025-04-02 00:33:59.207866
0,2,0.7,0.0,0.535,0.035,Maarif,False,True,2025-04-02 00:33:59.207866
0,2,1.0,0.0,0.35,0.021,Anfa,False,True,2025-04-02 00:33:59.207866
0,2,1.0,0.0,0.704,0.058,Sidi_Bernoussi,False,True,2025-04-02 00:33:59.207866
0,2,0.7,0.0,0.307,0.0,Hay_Hassani,False,True,2025-04-02 00:33:59.207866
0,2,1.0,0.0,0.858,0.127,Ain_Sebaa,False,True,2025-04-02 00:33:59.207866
1,2,1.0,0.0,0.72,0.093,Centre_Ville,False,True,2025-04-02 01:33:59.207866
1,2,0.7,0.0,0.53,0.0,Maarif,False,True,2025-04-02 01:33:59.207866
1,2,1.0,0.0,0.382,0.088,Anfa,False,True,2025-04-02 01:33:59.207866
1,2,1.0,0.0,0.722,0.124,Sidi_Bernoussi,False,True,2025-04-02 01:33:59.207866
1,2,0.7,0.0,0.294,0.066,Hay_Hassani,False,True,2025-04-02 01:33:59.207866
1,2,0.7,0.0,0.913,0.079,Ain_Sebaa,False,True,2025-04-02 01:33:59.207866
2,2,1.0,0.0,0.723,0.024,Centre_Ville,False,True,2025-04-02 02:33:59.207866
2,2,1.0,0.0,0.534,0.033,Maarif,False,True,2025-04-02 02:33:59.207866
2,2,1.0,0.0,0.368,0.131,Anfa,False,True,2025-04-02 02:33:59.207866
2,2,1.0,0.0,0.707,0.133,Sidi_Bernoussi,False,True,2025-04-02 02:33:59.207866
2,2,1.0,0.0,0.285,0.048,Hay_Hassani,False,True,2025-04-02 02:33:59.207866
2,2,1.0,0.0,0.881,0.008,Ain_Sebaa,False,True,2025-04-02 02:33:59.207866
3,2,0.7,0.0,0.697,0.08,Centre_Ville,False,True,2025-04-02 03:33:59.207866
3,2,0.7,0.0,0.56,0.099,Maarif,False,True,2025-04-02 03:33:59.207866
