hour,day_of_week,weather_score,event_impact,historical_avg,traffic_level
0,2,1.0,0.0,0.722,0.1
0,2,0.7,0.0,0.535,0.035
0,2,1.0,0.0,0.35,0.021
0,2,1.0,0.0,0.704,0.058
0,2,0.7,0.0,0.307,0.0
0,2,1.0,0.0,0.858,0.127
1,2,1.0,0.0,0.72,0.093
1,2,0.7,0.0,0.53,0.0
1,2,1.0,0.0,0.382,0.088
1,2,1.0,0.0,0.722,0.124
1,2,0.7,0.0,0.294,0.066
1,2,0.7,0.0,0.913,0.079
2,2,1.0,0.0,0.723,0.024
2,2,1.0,0.0,0.534,0.033
2,2,1.0,0.0,0.368,0.131
2,2,1.0,0.0,0.707,0.133
2,2,1.0,0.0,0.285,0.048
2,2,1.0,0.0,0.881,0.008
3,2,0.7,0.0,0.697,0.08
3,2,0.7,0.0,0.56,0.099
3,2,1.0,0.0,0.366,0.0
3,2,1.0,0.0,0.703,0.037
3,2,0.7,0.0,0.27,0.01
3,2,1.0,0.0,0.908,0.099
4,2,0.7,0.0,0.726,0.045
4,2,1.0,0.0,0.549,0.08
4,2,1.0,0.3,0.34,0.375
4,2,1.0,0.0,0.686,0.243
4,2,1.0,0.0,0.273,0.005
4,2,1.0,0.0,0.911,0.171
5,2,1.0,0.0,0.699,0.176
5,2,1.0,0.0,0.543,0.124
5,2,1.0,0.0,0.354,0.066
5,2,1.0,0.0,0.679,0.174
5,2,1.0,0.0,0.276,0.13
5,2,1.0,0.0,0.905,0.279
6,2,1.0,0.0,0.697,1.0
6,2,1.0,0.0,0.512,0.973
6,2,0.7,0.0,0.343,0.443
6,2,1.0,0.0,0.689,1.0
6,2,1.0,0.0,0.292,0.395
6,2,1.0,0.0,0.899,1.0
7,2,1.0,0.0,0.71,1.0
7,2,1.0,0.0,0.565,0.825
7,2,1.0,0.0,0.38,0.503
7,2,1.0,0.0,0.677,0.914
7,2,1.0,0.0,0.259,0.452
7,2,1.0,0.0,0.87,1.0
8,2,0.7,0.0,0.677,0.866
8,2,1.0,0.0,0.532,0.886
8,2,0.7,0.0,0.381,0.379
8,2,0.7,0.0,0.715,0.827
8,2,0.7,0.0,0.29,0.322
8,2,1.0,0.0,0.904,1.0
9,2,1.0,0.0,0.702,0.997
9,2,1.0,0.0,0.542,0.739
9,2,1.0,0.0,0.34,0.434
9,2,1.0,0.0,0.684,0.931
9,2,0.7,0.0,0.282,0.226
9,2,0.7,0.0,0.872,0.832
10,2,0.7,0.0,0.674,0.427
10,2,1.0,0.0,0.54,0.517
10,2,1.0,0.0,0.344,0.369
10,2,0.7,0.0,0.685,0.516
10,2,1.0,0.0,0.28,0.327
10,2,0.7,0.3,0.882,0.939
11,2,0.7,0.0,0.721,0.562
11,2,1.0,0.0,0.528,0.652
11,2,0.7,0.0,0.368,0.216
11,2,1.0,0.0,0.69,0.747
11,2,1.0,0.0,0.325,0.221
11,2,1.0,0.0,0.873,0.937
12,2,1.0,0.0,0.727,0.764
12,2,1.0,0.0,0.545,0.598
12,2,1.0,0.0,0.362,0.346
12,2,1.0,0.0,0.728,0.693
12,2,0.7,0.0,0.289,0.28
12,2,1.0,0.0,0.909,1.0
13,2,1.0,0.0,0.667,0.864
13,2,1.0,0.0,0.546,0.704
13,2,1.0,0.0,0.363,0.336
13,2,1.0,0.0,0.715,0.746
